question,answer
What is your return policy?,You can return any item within 30 days of purchase as long as it is unused and in its original packaging. Approved refunds are credited to your original payment method within 3-5 business days.
How do I track my order?,Once your order is shipped you will receive an email with a tracking link. You can also log into your account and go to Your Orders to track your package at any time.
How long does delivery take?,Standard delivery takes 5-7 business days. Express delivery is available and takes 2-3 business days. Processing time before shipping is 1-2 business days.
What payment methods do you accept?,We accept Visa MasterCard American Express PayPal and bank transfers. All transactions are secured with SSL encryption.
Do you offer international shipping?,Yes we ship to over 50 countries worldwide. International shipping costs and delivery times vary by location and will be shown at checkout.
Can I cancel or change my order?,Orders can be cancelled or changed within 24 hours of placing them. After that the order may already be processed and cannot be modified.
How do I return a damaged or defective item?,If you received a damaged or defective item please contact our support team within 7 days of delivery with a photo of the item and your order number. We will arrange a free return and replacement.
Will I get a full refund on my return?,Yes you will receive a full refund to your original payment method if the item is returned in its original condition within 30 days. Shipping fees are non-refundable unless the item was defective.
How do I create an account?,Click on the Sign Up button on the top right corner of our website. Enter your name email address and a password. You will receive a confirmation email to activate your account.
I forgot my password. How do I reset it?,Click on the Login button and then click Forgot Password. Enter your registered email address and we will send you a link to reset your password within a few minutes.
Is my personal information secure?,Yes we use industry-standard SSL encryption to protect all your personal data. We never sell or share your information with third parties without your consent.
Do you offer bulk or wholesale discounts?,Yes we offer discounts for bulk orders of 20 or more items. Please contact our sales team at sales@store.com for a custom quote.
How do I contact customer support?,You can reach our customer support team via email at support@store.com or by phone at 1-800-000-0000. Our support hours are Monday to Friday 9am to 6pm.
Do you have a physical store?,Currently we operate as an online-only store. However we do have a warehouse pickup option available in selected cities. Check our website for pickup locations.
What happens if my package is lost?,If your package has not arrived within 10 business days of the expected delivery date please contact us. We will investigate with the courier and either reship your order or issue a full refund.
Can I exchange an item for a different size or color?,Yes exchanges are accepted within 30 days of purchase. The item must be unused and in its original packaging. Contact our support team to initiate an exchange.
Do you offer gift wrapping?,Yes we offer gift wrapping for a small additional fee of $3 per item. You can select this option during checkout and also add a personalized message.
What is your warranty policy?,Most of our products come with a 1-year manufacturer warranty against defects. Some premium products include a 2-year warranty. Warranty details are listed on each product page.
How do I apply a discount or promo code?,At checkout enter your promo code in the Discount Code field and click Apply. The discount will be reflected in your order total before payment.
Do you restock sold-out items?,Yes most of our popular items are restocked regularly. You can click the Notify Me button on any sold-out product page to receive an email when it is back in stock.
